,FileName,Label,ClassName
0,../db/malevis_train/Vilsel/977b0f3ea9fcf4616d75936b5f0b7ce0da3c4fabresized_image.png,0,Vilsel
1,../db/malevis_train/Vilsel/152f15cb5ab8fde5ce203af6fca4478a1e683f1dresized_image.png,0,Vilsel
2,../db/malevis_train/Vilsel/9766ffe83baf12fb8254d0f0e8a893026a2daecdresized_image.png,0,Vilsel
3,../db/malevis_train/Vilsel/29d962851ce3b2607d411af826054255e5bde907resized_image.png,0,Vilsel
4,../db/malevis_train/Vilsel/87011472817fbff5921730579c337e3ff65f9d93resized_image.png,0,Vilsel
5,../db/malevis_train/Vilsel/a420aad82f1ad10997770f7774461be394798544resized_image.png,0,Vilsel
6,../db/malevis_train/Vilsel/2127b8e446225a0f9f1b231db159760705a18958resized_image.png,0,Vilsel
7,../db/malevis_train/Vilsel/a5ee830b5bc43088f4b54c3368221ab0f2eec562resized_image.png,0,Vilsel
8,../db/malevis_train/Vilsel/840cf1fb41b18f6c6a87a8e337e36a82ad6489c7resized_image.png,0,Vilsel
9,../db/malevis_train/Vilsel/66bcb7195992908866f94274aa51ced09b003214resized_image.png,0,Vilsel
10,../db/malevis_train/Vilsel/231a1a48b0b3819b76e7ea00fa0fa9adfb68640fresized_image.png,0,Vilsel
11,../db/malevis_train/Vilsel/97a97c71c1b44ca52474f8c470c38bcf4220b8a0resized_image.png,0,Vilsel
12,../db/malevis_train/Vilsel/97b5c9963147c5df418e2fc6d67026eaa6b6d05cresized_image.png,0,Vilsel
13,../db/malevis_train/Vilsel/88eed0622fc47876ee080b3b5b21bddfd813f82fresized_image.png,0,Vilsel
14,../db/malevis_train/Vilsel/62b8bdbb8217f3465c1378988d091c002b7c621fresized_image.png,0,Vilsel
15,../db/malevis_train/Vilsel/129408260815af41d85c0bf09eb1432efbd6e2feresized_image.png,0,Vilsel
16,../db/malevis_train/Vilsel/042337f4626de1710849bbc143a6881119ed062bresized_image.png,0,Vilsel
17,../db/malevis_train/Vilsel/93905fc8c75cdfb50d14020218e13bd7c978d7d4resized_image.png,0,Vilsel
18,../db/malevis_train/Vilsel/37f89779b9414d6cebc9c4eafd86f79ddec0db02resized_image.png,0,Vilsel
19,../db/malevis_train/Vilsel/404f5db2411511861795c2fda9d432a3feb2f8d3resized_image.png,0,Vilsel
20,../db/malevis_train/Vilsel/26e882f7e1f197d6d94f5db9202a63d91d350348resized_image.png,0,Vilsel
21,../db/malevis_train/Vilsel/314528d7a8f12bc5e07d740567f69d4e9bc12326resized_image.png,0,Vilsel
22,../db/malevis_train/Vilsel/51ee46666428ee0b89c87223fe29aaa906e7ead8resized_image.png,0,Vilsel
